species,latitude,longitude
Boronia clavata clavata,-34.37,119.35
Boronia clavata clavata,-34.32,119.25
Boronia clavata clavata,-34.32,119.25
Boronia clavata clavata,-34.31,119.25
Boronia clavata clavata,-34.29,119.22
Boronia clavata clavata,-34.29,119.21
Boronia clavata grandis,-34,123.22
Boronia clavata grandis,-34,123.22
Boronia clavata grandis,-34,123.22
Boronia clavata grandis,-33.99,123.22
Boronia clavata grandis,-33.99,123.22
Boronia clavata grandis,-33.99,123.22
Boronia clavata grandis,-33.99,123.22
Boronia clavata grandis,-33.99,123.23
Boronia clavata grandis,-33.99,123.23
Boronia clavata grandis,-33.99,123.23
Boronia clavata grandis,-33.92,118.97
Prophylactis clavatallax,-34.33,119.29
Prophylactis clavatallax,-34.33,119.29
Prophylactis clavatallax,-33.99,123.22
Prophylactis clavatallax,-33.99,123.22
Prophylactis clavatallax,-34.33,119.29
Prophylactis clavatallax,-34.33,119.29
Prophylactis clavatallax,-34.33,119.29